Fecha,Muestreo,Hoja,x,y
16/9/2020,M9,35,-83.877852,9.263636
14/9/2020,M8,19,-83.877853,9.265519
8/9/2020,M6,50,-83.877854,9.264121
11/8/2020,M4,35,-83.877855,9.263799
16/9/2020,M9,32,-83.877855,9.264161
4/8/2020,M1,99,-83.877856,9.263691
4/8/2020,M1,98,-83.877857,9.26372
7/9/2020,M5,31,-83.877857,9.26361
28/10/2020,M12,42,-83.877857,9.264129
26/1/2021,M16,48,-83.877857,9.263833
2/12/2020,M14 ,53,-83.877858,9.265493
4/12/2020,M15,46,-83.877858,9.265452
26/1/2021,M16,37,-83.877859,9.264133
10/8/2020,M3,58,-83.87786,9.26356
4/12/2020,M15,48,-83.87786,9.265408
7/9/2020,M5,26,-83.877861,9.264072
4/8/2020,M1,97,-83.877862,9.263829
16/9/2020,M9,63,-83.877862,9.264992
4/8/2020,M1,87,-83.877863,9.263581
17/9/2021,M20,65,-83.877863,9.264115
15/3/2021,M17,96,-83.877864,9.263599
17/9/2021,M20,64,-83.877864,9.264068
14/9/2020,M8,42,-83.877865,9.264071
22/9/2020,M11,28,-83.877866,9.264093
11/8/2020,M4,64,-83.877867,9.265591
4/12/2020,M15,44,-83.877867,9.265525
14/9/2020,M8,49,-83.877868,9.263774
16/9/2020,M9,62,-83.877868,9.265097
25/11/2020,M13,102,-83.877868,9.263984
21/4/2021,M19,88,-83.877868,9.2642
7/9/2020,M5,50,-83.877869,9.265585
26/1/2021,M16,56,-83.877869,9.265568
22/9/2020,M11,39,-83.87787,9.263568
26/1/2021,M16,44,-83.877871,9.263711
26/1/2021,M16,53,-83.877871,9.265047
16/9/2020,M9,36,-83.877872,9.263651
8/8/2020,M2,72,-83.877874,9.265068
8/9/2020,M6,49,-83.877874,9.264027
22/9/2020,M11,17,-83.877874,9.265452
21/4/2021,M19,55,-83.877874,9.265012
11/8/2020,M4,63,-83.877875,9.265601
7/9/2020,M5,36,-83.877875,9.263529
25/11/2020,M13,32,-83.877875,9.264107
4/12/2020,M15,31,-83.877875,9.264075
17/9/2021,M20,10,-83.877875,9.265068
17/9/2021,M20,56,-83.877875,9.264036
7/8/2020,M2,25,-83.877878,9.263565
10/8/2020,M3,61,-83.877878,9.263548
14/9/2020,M8,47,-83.877878,9.263756
7/9/2020,M5,51,-83.877879,9.265531
8/9/2020,M6,2,-83.877879,9.265592
26/1/2021,M16,46,-83.877879,9.263715
7/9/2020,M5,25,-83.87788,9.264097
1/12/2020,M14 ,43,-83.87788,9.26403
7/8/2020,M2,41,-83.877881,9.264071
16/9/2020,M9,69,-83.877881,9.265599
22/9/2020,M11,32,-83.877881,9.264147
10/8/2020,M3,48,-83.877882,9.265644
10/8/2020,M3,62,-83.877882,9.264064
7/9/2020,M5,37,-83.877882,9.263634
18/9/2020,M10,15,-83.877882,9.265602
29/10/2020,M12,52,-83.877882,9.26355
14/9/2020,M8,45,-83.877883,9.264068
10/8/2020,M3,55,-83.877884,9.263937
11/8/2020,M4,17,-83.877885,9.265048
4/12/2020,M15,45,-83.877885,9.265466
7/9/2020,M5,49,-83.877886,9.265632
19/9/2020,M10,65,-83.877886,9.263996
11/8/2020,M4,66,-83.877887,9.265487
18/9/2020,M10,14,-83.877887,9.265536
8/9/2020,M6,60,-83.877888,9.263468
4/8/2020,M1,139,-83.877889,9.264076
14/9/2020,M8,48,-83.877889,9.263735
28/10/2020,M12,40,-83.877889,9.26392
7/9/2020,M5,30,-83.87789,9.263799
12/9/2020,M7,55,-83.87789,9.264036
4/12/2020,M15,107,-83.87789,9.264154
26/1/2021,M16,39,-83.87789,9.264091
14/9/2020,M8,21,-83.877891,9.265569
29/10/2020,M12,53,-83.877891,9.263574
4/12/2020,M15,43,-83.877891,9.265568
21/4/2021,M19,86,-83.877891,9.264126
7/8/2020,M2,27,-83.877892,9.263571
10/8/2020,M3,35,-83.877892,9.26351
26/1/2021,M16,35,-83.877892,9.264178
4/8/2020,M1,90,-83.877893,9.263614
16/9/2020,M9,30,-83.877893,9.264131
1/12/2020,M14 ,44,-83.877893,9.264071
7/8/2020,M2,28,-83.877894,9.263388
8/9/2020,M6,56,-83.877894,9.263671
25/11/2020,M13,4,-83.877894,9.265676
10/8/2020,M3,50,-83.877895,9.265615
7/9/2020,M5,35,-83.877895,9.263505
26/1/2021,M16,36,-83.877895,9.264195
17/9/2021,M20,73,-83.877895,9.265046
12/9/2020,M7,58,-83.877896,9.26382
14/9/2020,M8,41,-83.877896,9.264097
4/8/2020,M1,137,-83.877897,9.264094
7/8/2020,M2,20,-83.877897,9.264135
2/12/2020,M14 ,124,-83.877897,9.263669
21/4/2021,M19,116,-83.877898,9.263559
17/9/2021,M20,36,-83.877898,9.263562
8/9/2020,M6,54,-83.877899,9.263826
21/4/2021,M19,90,-83.877899,9.264032
17/9/2021,M20,55,-83.877899,9.263998
17/9/2021,M20,11,-83.8779,9.265047
7/8/2020,M2,43,-83.877901,9.263667
12/9/2020,M7,25,-83.877901,9.265432
16/9/2020,M9,38,-83.877901,9.263583
26/1/2021,M16,41,-83.877901,9.264081
21/4/2021,M19,94,-83.877901,9.263798
17/9/2021,M20,12,-83.877901,9.265165
10/8/2020,M3,56,-83.877902,9.263843
29/10/2020,M12,65,-83.877902,9.2655
4/12/2020,M15,42,-83.877902,9.265605
26/1/2021,M16,100,-83.877902,9.2636
10/8/2020,M3,63,-83.877903,9.26423
18/3/2021,M18,55,-83.877903,9.265453
4/8/2020,M1,138,-83.877905,9.264039
11/8/2020,M4,36,-83.877905,9.263635
8/9/2020,M6,3,-83.877905,9.265497
21/4/2021,M19,113,-83.877905,9.263495
10/8/2020,M3,49,-83.877906,9.265635
11/8/2020,M4,67,-83.877906,9.265462
14/9/2020,M8,20,-83.877906,9.265498
18/3/2021,M18,43,-83.877906,9.263532
17/9/2021,M20,54,-83.877907,9.263973
8/9/2020,M6,59,-83.877908,9.263526
12/9/2020,M7,51,-83.877908,9.264238
29/10/2020,M12,63,-83.877909,9.265631
25/11/2020,M13,30,-83.877909,9.264062
4/8/2020,M1,37,-83.87791,9.265109
12/9/2020,M7,56,-83.877911,9.264035
25/11/2020,M13,33,-83.877911,9.264122
14/9/2020,M8,40,-83.877912,9.264077
12/9/2020,M7,62,-83.877913,9.263591
21/4/2021,M19,85,-83.877913,9.264115
8/9/2020,M6,57,-83.877914,9.26362
14/9/2020,M8,54,-83.877914,9.263566
26/1/2021,M16,40,-83.877914,9.264127
18/3/2021,M18,44,-83.877914,9.263642
21/4/2021,M19,115,-83.877914,9.263564
7/8/2020,M2,39,-83.877915,9.26414
14/9/2020,M8,53,-83.877915,9.263638
21/4/2021,M19,89,-83.877915,9.264027
8/9/2020,M6,5,-83.877916,9.265478
22/9/2020,M11,41,-83.877916,9.263544
25/11/2020,M13,5,-83.877916,9.26548
18/3/2021,M18,53,-83.877917,9.26568
4/8/2020,M1,108,-83.877918,9.263933
19/9/2020,M10,64,-83.877918,9.264058
25/11/2020,M13,57,-83.877918,9.263575
10/8/2020,M3,45,-83.877919,9.26561
10/8/2020,M3,47,-83.877919,9.265636
1/12/2020,M14 ,48,-83.877919,9.263723
17/9/2021,M20,2,-83.877919,9.265586
22/9/2020,M11,13,-83.87792,9.26493
